[ 2025-04-05 23:35:06,832 ] 15 root - INFO - Initiate the data ingestion
[ 2025-04-05 23:35:09,032 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-04-05 23:35:09,033 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-05 23:35:09,033 ] 75 root - INFO - Exporting train and test file path.
[ 2025-04-05 23:35:09,253 ] 84 root - INFO - Exported train and test file path.
[ 2025-04-05 23:35:09,268 ] 20 root - INFO - Initiate the data Validation
[ 2025-04-05 23:35:09,331 ] 32 root - INFO - Required number of columns:2
[ 2025-04-05 23:35:09,333 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-05 23:35:09,333 ] 32 root - INFO - Required number of columns:2
[ 2025-04-05 23:35:09,334 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-05 23:35:09,830 ] 22 root - INFO - data Validation Completed
