[ 2025-04-06 14:21:11,804 ] 19 root - INFO - Initiate the data ingestion
[ 2025-04-06 14:21:13,501 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-04-06 14:21:13,502 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-06 14:21:13,502 ] 75 root - INFO - Exporting train and test file path.
[ 2025-04-06 14:21:13,565 ] 84 root - INFO - Exported train and test file path.
[ 2025-04-06 14:21:13,575 ] 24 root - INFO - Initiate the data Validation
[ 2025-04-06 14:21:13,606 ] 32 root - INFO - Required number of columns:2
[ 2025-04-06 14:21:13,610 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-06 14:21:13,610 ] 32 root - INFO - Required number of columns:2
[ 2025-04-06 14:21:13,610 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-06 14:21:13,879 ] 26 root - INFO - data Validation Completed
[ 2025-04-06 14:21:13,879 ] 29 root - INFO - data Transformation started
[ 2025-04-06 14:21:13,879 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-04-06 14:21:13,879 ] 65 root - INFO - Starting data transformation
[ 2025-04-06 14:21:13,902 ] 48 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-04-06 14:21:13,902 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-04-06 14:21:13,918 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-06 14:21:13,923 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-06 14:21:13,924 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-06 14:21:13,927 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-06 14:21:13,928 ] 33 root - INFO - data Transformation completed
[ 2025-04-06 14:21:13,928 ] 35 root - INFO - Model Training sstared
[ 2025-04-06 14:25:21,874 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-06 14:25:21,874 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-06 14:25:21,874 ] 142 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_06_2025_14_21_08\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910858995137763, precision_score=0.9882828282828283, recall_score=0.9939049167005283), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9739687625150181, precision_score=0.9635499207606973, recall_score=0.9846153846153847))
[ 2025-04-06 14:25:21,876 ] 40 root - INFO - Model Training artifact created
